episode,reward,length,loss
1,-19,30,-109.59249877929688
2,3,8,29.514419555664062
3,-2,13,29.263906478881836
4,0,11,31.284339904785156
5,7,4,10.344919204711914
6,7,4,9.579656600952148
7,7,4,8.778691291809082
8,6,5,16.040597915649414
9,5,6,22.515296936035156
10,7,4,6.69426155090332
11,7,4,6.119245529174805
12,3,8,27.486976623535156
13,5,6,20.530733108520508
14,7,4,4.810171127319336
15,5,6,20.68045997619629
16,7,4,4.211832046508789
17,3,8,29.263103485107422
18,7,4,3.7636046409606934
19,7,4,3.5683436393737793
20,7,4,3.357670307159424
21,7,4,3.1379547119140625
22,5,6,23.346267700195312
23,5,6,24.50812530517578
24,5,6,23.69432258605957
25,7,4,2.725424289703369
26,7,4,2.6991162300109863
27,7,4,2.6487839221954346
28,5,6,23.735319137573242
29,7,4,2.5595145225524902
30,7,4,2.5182666778564453
31,7,4,2.457120418548584
32,7,4,2.3792810440063477
33,7,4,2.2879931926727295
34,5,6,25.786027908325195
35,7,4,2.1626877784729004
36,7,4,2.122342109680176
37,7,4,2.0677056312561035
38,7,4,2.00119686126709
39,7,4,1.9251737594604492
40,7,4,1.8419405221939087
41,7,4,1.7536914348602295
42,7,4,1.6621098518371582
43,5,6,25.10979461669922
44,7,4,1.5284218788146973
45,7,4,1.4813809394836426
46,7,4,1.427923560142517
47,7,4,1.3695619106292725
48,7,4,1.306488275527954
49,7,4,1.2410157918930054
50,7,4,1.1744849681854248
51,7,4,1.1079678535461426
52,7,4,1.0414104461669922
53,7,4,0.9763438701629639
54,7,4,0.913448691368103
55,5,6,27.59494400024414
56,7,4,0.8392646908760071
57,7,4,0.8219231367111206
58,7,4,0.8016992211341858
59,7,4,0.7790985107421875
60,7,4,0.7546083927154541
61,7,4,0.7286880016326904
62,7,4,0.701761782169342
63,7,4,0.6742134690284729
64,7,4,0.646385908126831
65,7,4,0.6185741424560547
66,7,4,0.5910331606864929
67,7,4,0.5639761686325073
68,7,4,0.5375763177871704
69,7,4,0.5119670629501343
70,7,4,0.48725810647010803
71,7,4,0.46352413296699524
72,7,4,0.4408142566680908
73,7,4,0.4191603660583496
74,7,4,0.39857470989227295
75,7,4,0.3790520131587982
76,7,4,0.3605794310569763
77,7,4,0.34313201904296875
78,7,4,0.32667818665504456
79,7,4,0.31117716431617737
80,7,4,0.29658734798431396
81,7,4,0.28286707401275635
82,6,5,24.774450302124023
83,7,4,0.2756642997264862
84,7,4,0.2800571322441101
85,7,4,0.28320008516311646
86,7,4,0.28515127301216125
87,7,4,0.2859867215156555
88,7,4,0.28578922152519226
89,7,4,0.28464818000793457
90,7,4,0.2826554775238037
91,7,4,0.27990496158599854
92,7,4,0.27648699283599854
93,7,4,0.27249208092689514
94,7,4,0.26800423860549927
95,7,4,0.2631056308746338
96,7,4,0.25787049531936646
97,7,4,0.2523665428161621
98,7,4,0.24665896594524384
99,7,4,0.24080324172973633
100,7,4,0.23484966158866882
101,7,4,0.22884300351142883
102,7,4,0.22282418608665466
103,7,4,0.21682657301425934
104,7,4,0.21087834239006042
105,7,4,0.20497608184814453
106,7,4,0.19887226819992065
107,7,4,0.1928037405014038
108,7,4,0.18682529032230377
109,7,4,0.18097370862960815
110,7,4,0.17527061700820923
111,7,4,0.1697322130203247
112,7,4,0.16436731815338135
113,7,4,0.15918684005737305
114,7,4,0.1541890799999237
115,7,4,0.1493777334690094
116,7,4,0.14475266635417938
117,7,4,0.14031048119068146
118,7,4,0.13604676723480225
119,7,4,0.13195869326591492
120,7,4,0.12803961336612701
121,7,4,0.12428551912307739
122,7,4,0.12069020420312881
123,7,4,0.11724573373794556
124,7,4,0.1139494776725769
125,7,4,0.1107923611998558
126,7,4,0.1077691912651062
127,7,4,0.10487406700849533
128,7,4,0.10210054367780685
129,7,4,0.09944356977939606
130,7,4,0.09689787030220032
131,7,4,0.09445718675851822
132,7,4,0.09211647510528564
133,7,4,0.08987073600292206
134,7,4,0.08771597594022751
135,7,4,0.08564721047878265
136,7,4,0.08366091549396515
137,7,4,0.08175134658813477
138,7,4,0.07991576194763184
139,7,4,0.07815153151750565
140,7,4,0.07645297050476074
141,7,4,0.07481788098812103
142,7,4,0.07324269413948059
143,7,4,0.07172539830207825
144,7,4,0.07026360929012299
145,7,4,0.0688520222902298
146,7,4,0.06749056279659271
147,7,4,0.06617509573698044
148,7,4,0.06490474939346313
149,7,4,0.06367936730384827
150,7,4,0.0624917671084404
151,7,4,0.0613444522023201
152,7,4,0.06023302674293518
153,7,4,0.0591588169336319
154,7,4,0.05811629071831703
155,7,4,0.05710761994123459
156,7,4,0.056129224598407745
157,7,4,0.05517963320016861
158,7,4,0.05425795912742615
159,7,4,0.05336453765630722
160,7,4,0.052496906369924545
161,7,4,0.051653388887643814
162,7,4,0.05083339288830757
163,7,4,0.05003669857978821
164,7,4,0.04926270991563797
165,7,4,0.04850783199071884
166,7,4,0.047774191945791245
167,7,4,0.04705911502242088
168,7,4,0.04636327177286148
169,7,4,0.04568532481789589
170,7,4,0.045024871826171875
171,7,4,0.0443807877600193
172,7,4,0.0437532477080822
173,7,4,0.04313974827528
174,5,6,59.111515045166016
175,7,4,0.04934900999069214
176,7,4,0.05637089163064957
177,7,4,0.06349863111972809
178,7,4,0.07061674445867538
179,7,4,0.07762107998132706
180,7,4,0.0844113752245903
181,7,4,0.09090349078178406
182,7,4,0.09702187776565552
183,7,4,0.10270766913890839
184,7,4,0.10791153460741043
185,7,4,0.11260590702295303
186,7,4,0.11676743626594543
187,7,4,0.12038958072662354
188,7,4,0.12347207963466644
189,7,4,0.126026451587677
190,7,4,0.1280696988105774
191,7,4,0.12962543964385986
192,7,4,0.1307225525379181
193,7,4,0.13139037787914276
194,7,4,0.13166065514087677
195,7,4,0.13156935572624207
196,7,4,0.1311511993408203
197,7,4,0.13043896853923798
198,7,4,0.12946456670761108
